,adress,coord,latitudes,longitudes
187,"Berlin, Deutschland","(52.5170365, 13.3888599)",52.5170365,13.3888599
190,"Birmingham, Jefferson County, Alabama, United States of America","(33.5206824, -86.8024326)",33.5206824,-86.8024326
193,"Birmingham, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4796992, -1.9026911)",52.4796992,-1.9026911
196,"Bochum-Langendreer, Hauptstraße, Wilhelmshöhe, Langendreer, Bochum-Ost, Bochum, Nordrhein-Westfalen, 44892, Deutschland","(51.4779843, 7.3236336)",51.4779843,7.3236336
199,"Boston, Suffolk County, Massachusetts, United States of America","(42.3602534, -71.0582912)",42.3602534,-71.0582912
202,"Bridgeport, Fairfield, Connecticut, United States of America","(41.1670412, -73.2048348)",41.1670412,-73.2048348
205,"Brisbane, Queensland, 4004, Australia","(-27.4689682, 153.0234991)",-27.4689682,153.0234991
208,"Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België - Belgique - Belgien","(50.8465573, 4.351697)",50.8465573,4.351697
211,"Budapest, Közép-Magyarország, Magyarország","(47.4983815, 19.0404707)",47.4983815,19.0404707
212,"Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina","(-34.6075682, -58.4370894)",-34.6075682,-58.4370894
214,"القاهرة, Egypt / مصر","(30.048819, 31.243666)",30.048819,31.243666
216,"Calgary, Alberta, Canada","(51.0534234, -114.0625892)",51.0534234,-114.0625892
219,"Cape Town, City of Cape Town, Western Cape, 8001, South Africa","(-33.928992, 18.417396)",-33.928992,18.417396
221,"Charlotte, Mecklenburg County, North Carolina, United States of America","(35.2270869, -80.8431268)",35.2270869,-80.8431268
224,"Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212)",41.8755616,-87.6244212
227,"Cincinnati, Hamilton County, Ohio, United States of America","(39.1014537, -84.5124602)",39.1014537,-84.5124602
230,"Cleveland, Cuyahoga County, Ohio, United States of America","(41.5051613, -81.6934446)",41.5051613,-81.6934446
233,"Köln, Nordrhein-Westfalen, Deutschland","(50.938361, 6.959974)",50.938361,6.959974
236,"Colorado Springs, El Paso County, Colorado, United States of America","(38.8339578, -104.8253485)",38.8339578,-104.8253485
239,"Columbus, Franklin County, Ohio, United States of America","(39.9622601, -83.0007065)",39.9622601,-83.0007065
242,"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark","(55.6867243, 12.5700724)",55.6867243,12.5700724
245,"Corpus Christi, Nueces County, Texas, United States of America","(27.7477253, -97.4014129)",27.7477253,-97.4014129
248,"Dallas, Dallas County, Texas, United States of America","(32.7762719, -96.7968559)",32.7762719,-96.7968559
251,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","(28.6517178, 77.2219388)",28.6517178,77.2219388
253,"Denver, Denver County, Colorado, United States of America","(39.7392364, -104.9848623)",39.7392364,-104.9848623
256,"Detroit, Wayne County, Michigan, United States of America","(42.3315509, -83.0466403)",42.3315509,-83.0466403
259,"دبي, United Arab Emirates","(25.0750095, 55.18876088183319)",25.0750095,55.18876088183319
261,"Dublin, County Dublin, Leinster, Ireland","(53.3497645, -6.2602732)",53.3497645,-6.2602732
264,"Düsseldorf, Nordrhein-Westfalen, 40213, Deutschland","(51.2254018, 6.7763137)",51.2254018,6.7763137
267,"Edmonton, Alberta, Canada","(53.535411, -113.507996)",53.535411,-113.507996
270,"Frankfurt am Main, Hessen, Deutschland","(50.1106444, 8.6820917)",50.1106444,8.6820917
272,"Fresno, Fresno County, California, United States of America","(36.7295295, -119.70886126075588)",36.7295295,-119.70886126075588
275,"福岡県, 日本 (Japan)","(33.6251241, 130.6180016)",33.6251241,130.6180016
278,"Grand Rapids, Kent County, Michigan, United States of America","(42.9632405, -85.6678639)",42.9632405,-85.6678639
281,"Greensboro, Guilford County, North Carolina, United States of America","(36.0726355, -79.7919754)",36.0726355,-79.7919754
284,"Guadalajara, Jalisco, 44360, México","(20.6720375, -103.3383962)",20.6720375,-103.3383962
286,"Halifax, Halifax County, Nova Scotia, Canada","(44.648618, -63.5859487)",44.648618,-63.5859487
289,"Hamburg, Deutschland","(53.5437641, 10.0099133)",53.5437641,10.0099133
292,"Hartford, Connecticut, United States of America","(41.764582, -72.6908547)",41.764582,-72.6908547
295,"Helsinki, Helsingin seutukunta, Uusimaa, Manner-Suomi, Suomi","(60.1674098, 24.9425769)",60.1674098,24.9425769
298,"Honolulu, Honolulu County, Hawaii, United States of America","(21.304547, -157.8556764)",21.304547,-157.8556764
301,"Houston, Harris County, Texas, United States of America","(29.7589382, -95.3676974)",29.7589382,-95.3676974
304,"Həsin, Astara rayonu, Lənkəran, Azerbaijan","(38.5834333, 48.7906497)",38.5834333,48.7906497
306,"Indianapolis, Marion, Indiana, United States of America","(39.7683331, -86.1583502)",39.7683331,-86.1583502
309,"İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34126, Türkiye","(41.0096334, 28.9651646)",41.0096334,28.9651646
311,"Jacksonville, Duval County, Florida, United States of America","(30.3321838, -81.655651)",30.3321838,-81.655651
314,"Daerah Khusus Ibukota Jakarta, Indonesia","(-6.1753942, 106.827183)",-6.1753942,106.827183
316,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa","(-26.205, 28.049722)",-26.205,28.049722
318,"Kansas City, Jackson County, Missouri, United States of America","(39.100105, -94.5781416)",39.100105,-94.5781416
321,"Kuala Lumpur, Malaysia","(3.1516964, 101.6942371)",3.1516964,101.6942371
323,"Las Vegas, Clark County, Nevada, United States of America","(36.1672559, -115.1485163)",36.1672559,-115.1485163
326,"Leeds, Yorkshire and the Humber, England, United Kingdom","(53.7974185, -1.5437941)",53.7974185,-1.5437941
329,"Lexington, Fayette County, Kentucky, 40508, United States of America","(38.0464066, -84.4970393)",38.0464066,-84.4970393
332,"Lille, Nord, Hauts-de-France, France métropolitaine, France","(50.6365654, 3.0635282)",50.6365654,3.0635282
335,"London, Greater London, England, SW1A 2DX, United Kingdom","(51.5073219, -0.1276474)",51.5073219,-0.1276474
